areaname;area vice;employyee
LABORATORIO DE MEDIDORES (CLS53000396);TRANSMISION Y DISTRIBUCION (CLS80000008);2000030091
FACTURACION MEDIDA (CLS53000368);COMERCIAL (CLS80000004);2000026829
LINEAS Y REDES TOLIMA NORTE (CLS53000583);TRANSMISION Y DISTRIBUCION (CLS80000008);2000023182
LINEAS Y REDES TOLIMA SUR (CLS53000584);TRANSMISION Y DISTRIBUCION (CLS80000008);2000028710
OPERACION (CLS53000349);TRANSMISION Y DISTRIBUCION (CLS80000008);2000025779
DISEÑO Y CONSTRUCCION INTERNET (CLS53000512);TALENTO HUMANO Y SOLUCIONES ORGANIZACIONALES (CLS80000007);2000026220
SUBESTACIONES TOLIMA NORTE (CLS53000578);TRANSMISION Y DISTRIBUCION (CLS80000008);2000027166
COMERCIAL INTERNET (CLS53000324);TALENTO HUMANO Y SOLUCIONES ORGANIZACIONALES (CLS80000007);2000005447
GENERACION HIDRAULICA (CLS51000667);GENERACION (CLS80000006);2000001760
COMPENSACION Y PLANEACION DEL TALENTO (CLS53000021);TALENTO HUMANO Y SOLUCIONES ORGANIZACIONALES (CLS80000007);2000020304
HOGARES (CLS51000668);COMERCIAL (CLS80000004);2000021979
CRECIMIENTO RED Y MULTISERVICIOS (CLS53000031);TRANSMISION Y DISTRIBUCION (CLS80000008);2000006133
CIENCIA DE DATOS (CLS53000237);INNOVACION (CLS80000021);2000027081
BIENES INMUEBLES I (CLS53000089);TALENTO HUMANO Y SOLUCIONES ORGANIZACIONALES (CLS80000007);2000020174
ACADEMIA E4 (CLS53000009);TALENTO HUMANO Y SOLUCIONES ORGANIZACIONALES (CLS80000007);2000025771
MEDICINA LABORAL (CLS53000480);TALENTO HUMANO Y SOLUCIONES ORGANIZACIONALES (CLS80000007);2000026362
SOSTENIBILIDAD (CLS53000013);ASUNTOS CORPORATIVOS (CLS80000002);2000032232
EJECUCION Y OPERACION PROYECTOS EFICIENCIA ENERGETICA (CLS53000518);COMERCIAL (CLS80000004);2000005312
OPERACION Y MANTENIMIENTO DE LA MEDIDA ZONA TOLIMA SUR (CLS53000272);TRANSMISION Y DISTRIBUCION (CLS80000008);2000023174
ANALITICA (CLS53000475);TALENTO HUMANO Y SOLUCIONES ORGANIZACIONALES (CLS80000007);2000001919
MANTENIMIENTO ELECTRICO CENTRALES GENERACION (CLS53000034);GENERACION (CLS80000006);2000005269
DISEÑO EXPERIENCIA CLIENTES (CLS53000610);COMERCIAL (CLS80000004);2000003538
DEVOPS TECNOLOGIA NEGOCIO (CLS53000546);TALENTO HUMANO Y SOLUCIONES ORGANIZACIONALES (CLS80000007);2000032892
CENTRO DE OPERACIONES TECNOLOGIA (CLS53000535);TALENTO HUMANO Y SOLUCIONES ORGANIZACIONALES (CLS80000007);2000031398
NEGOCIOS REGULADOS (CLS53000308);ASUNTOS REGULATORIOS (CLS80000003);2000021886
CREDITOS (CLS53000333);COMERCIAL (CLS80000004);2000020978
CENTRO DE CONTROL (CLS53000348);TRANSMISION Y DISTRIBUCION (CLS80000008);2000020922
GESTION RECURSOS CENTRAL TERMICA (CLS53000549);GENERACION (CLS80000006);2000028805
MANTENIMIENTO TYD (CLS51000659);TRANSMISION Y DISTRIBUCION (CLS80000008);2000005453
RIESGOS Y SISTEMA GESTION DE ACTIVOS (CLS53000283);FINANCIERA (CLS80000005);2000023198
TALENTO HUMANO Y SOLUCIONES ORGANIZACIONALES (CLS50000059);TALENTO HUMANO Y SOLUCIONES ORGANIZACIONALES (CLS80000007);2000005442
DESARROLLO LOGISTICO (CLS53000556);FINANCIERA (CLS80000005);2000003548
ACTIVOS FIJOS (CLS53000246);FINANCIERA (CLS80000005);2000001899
PLANEACION Y OPERACION MERCADOS ENERGETICOS (CLS51000488);GENERACION (CLS80000006);2000001928
MANTENIMIENTOS MAYORES CENTRALES GENERACION (CLS53000591);GENERACION (CLS80000006);2000006076
PRESIDENCIA (CLS50000050);PRESIDENCIA (CLS80000001);2000004428
PROYECTOS TECNOLOGIA (CLS53000020);TALENTO HUMANO Y SOLUCIONES ORGANIZACIONALES (CLS80000007);2000005392
MANTENIMIENTO INTERNET (CLS53000329);TALENTO HUMANO Y SOLUCIONES ORGANIZACIONALES (CLS80000007);2000030878
MEDIDA CENTRALIZADA Y ESPECIAL REDUCCION DE PERDIDAS (CLS53000040);TRANSMISION Y DISTRIBUCION (CLS80000008);2000023569
EXPERIENCIAS DE SERVICIO I (CLS53000303);COMERCIAL (CLS80000004);2000026221
PROTECCION Y TELECONTROL ZONA (CLS53000259);TRANSMISION Y DISTRIBUCION (CLS80000008);2000028880
INFORMACION TECNICA (CLS53000432);TRANSMISION Y DISTRIBUCION (CLS80000008);2000029264
AUDITORIA CA (CLS53000412);AUDITORIA CORPORATIVA (CLS80000020);2000004904
SUPERVISION DE TURNO (CLS53000496);CELSIA CENTROAMERICA (CLS80000009);2000004731
EQUIPOS MECANICOS PROYECTOS (CLS53000551);GENERACION (CLS80000006);2000030534
VENTAS (CLS53000343);COMERCIAL (CLS80000004);2000003027
PLANEAMIENTO DMA (CLS53000063);CELSIA CENTROAMERICA (CLS80000009);2000004736
REGIONAL ANTIOQUIA (CLS53000292);COMERCIAL (CLS80000004);2000001101
VIAS Y OBRAS POR IMPUESTOS (CLS53000615);GENERACION (CLS80000006);2000022097
CIBERSEGURIDAD (CLS53000025);TALENTO HUMANO Y SOLUCIONES ORGANIZACIONALES (CLS80000007);2000026450
SOLUCIONES AL COLABORADOR (CLS53000281);TALENTO HUMANO Y SOLUCIONES ORGANIZACIONALES (CLS80000007);2000026331
GESTION TECNICA TERMICAS (CLS53000423);GENERACION (CLS80000006);2000028649
ASUNTOS LEGALES DE NEGOCIO (CLS53000015);ASUNTOS CORPORATIVOS (CLS80000002);2000031433
SOPORTE COMPRAS (CLS53000375);FINANCIERA (CLS80000005);2000025415
COMUNICACIONES Y CONTENIDOS (CLS51000485);ASUNTOS CORPORATIVOS (CLS80000002);2000031512
OPERACION DE LA MEDIDA ZONA (CLS53000227);TRANSMISION Y DISTRIBUCION (CLS80000008);2000026800
INFORMACION TECNICA (CLS53000431);TRANSMISION Y DISTRIBUCION (CLS80000008);2000028434
OPERACION Y MANTENIMIENTO TECNOLOGIA NEGOCIOS (CLS53000464);TALENTO HUMANO Y SOLUCIONES ORGANIZACIONALES (CLS80000007);2000027167
CONFIABILIDAD DE ACTIVOS (CLS53000594);GENERACION (CLS80000006);2000001789
GESTION COMBUSTIBLES ZFC (CLS53000206);GENERACION (CLS80000006);2000021837
PROYECTOS FOTOVOLTAICOS HN (CLS53000470);CELSIA CENTROAMERICA (CLS80000009);2000029246
SUPERVISION DE TURNO (CLS53000495);CELSIA CENTROAMERICA (CLS80000009);2000004801
ENERGIA Y HOGARES (CLS53000278);COMERCIAL (CLS80000004);2000005102
OPERACIONES COMPLEJO HIDRICO CHIRIQUI (CLS53000064);CELSIA CENTROAMERICA (CLS80000009);2000004886
TESORERIA (CLS52000011);FINANCIERA (CLS80000005);2000022137
ENERBIT (CLS53000523);ENERBIT (CLS80000022);2000004440
REGIONAL TOLIMA (CLS53000301);COMERCIAL (CLS80000004);2000023188
PLANEACION DISEÑO E INGENIERIA TYD (CLS51000753);TRANSMISION Y DISTRIBUCION (CLS80000008);2000022190
GESTION DE APLICACIONES OPERACION TYD (CLS53000506);TRANSMISION Y DISTRIBUCION (CLS80000008);2000026179
SERVICIO A CLIENTES (CLS51000701);COMERCIAL (CLS80000004);2000028797
EXPERIENCIAS DE SERVICIO I (CLS53000302);COMERCIAL (CLS80000004);2000028331
REDES MTBT II (CLS53000226);TRANSMISION Y DISTRIBUCION (CLS80000008);2000025988
REDES MTBT (CLS53000236);TRANSMISION Y DISTRIBUCION (CLS80000008);2000027765
TRANSACCIONES DE ENERGIA (CLS53000256);TRANSMISION Y DISTRIBUCION (CLS80000008);2000028306
PLANTA EOLICA GUANACASTE (CLS52000036);CELSIA CENTROAMERICA (CLS80000009);2000032121
MANTENIMIENTO ELECTROMECANICO CENTRALES (CLS53000214);CELSIA CENTROAMERICA (CLS80000009);2000025117
PLANEACION FISCAL (CLS51000341);FINANCIERA (CLS80000005);2000001720
GENERACION TERMICA (CLS53000350);GENERACION (CLS80000006);2000004812
CENTRAL HIDRAULICA PRADO Y CUCUANA (CLS51000816);GENERACION (CLS80000006);2000026758
EJECUCION Y OPERACION DE PROYECTOS EFICIENCIA ENERGETICA (CLS53000468);COMERCIAL (CLS80000004);2000027968
SUPERVISION DE TURNO IV (CLS53000068);CELSIA CENTROAMERICA (CLS80000009);2000004890
SUPERVISION TURNO III CATIVA (CLS53000049);CELSIA CENTROAMERICA (CLS80000009);2000004742
OPERACIONES CATIVA (CLS53000046);CELSIA CENTROAMERICA (CLS80000009);2000004950
REDES MTBT (CLS53000235);TRANSMISION Y DISTRIBUCION (CLS80000008);2000004997
TECNICO PROYECTOS (CLS53000413);CELSIA CENTROAMERICA (CLS80000009);2000004945
SOPORTE DE PROYECTOS Y MERCADOS ELECTRICOS (CLS52000044);CELSIA CENTROAMERICA (CLS80000009);2000004711
MANTENIMIENTO ELECTRICO DMA (CLS53000073);CELSIA CENTROAMERICA (CLS80000009);2000021676
INGENIERIA DE APOYO (CLS51000702);GENERACION (CLS80000006);2000003490
MANTENIMIENTO MECANICO CENTRALES GENERACION (CLS53000383);GENERACION (CLS80000006);2000010451
MANTENIMIENTO TYD ZONA (CLS53000260);TRANSMISION Y DISTRIBUCION (CLS80000008);2000030841
GESTION CENTRO DE OPERACIONES TECNOLOGIA (CLS53000535);TALENTO HUMANO Y SOLUCIONES ORGANIZACIONALES (CLS80000007);2000004911
MANTENIMIENTO TYD Y CONTROL DE ENERGIA (CLS51000659);TRANSMISION Y DISTRIBUCION (CLS80000008);2000024432
MANTENIMIENTO, INSTRUMENTACION Y ELECTRICO (CLS53000336);CELSIA CENTROAMERICA (CLS80000009);2000025998
GESTION TECNOLOGIAS OPERACION TYD (CLS53000506);TRANSMISION Y DISTRIBUCION (CLS80000008);2000005108
SOCIOAMBIENTAL TYD (CLS53000570);TRANSMISION Y DISTRIBUCION (CLS80000008);2000023128
OBRAS CIVILES PROYECTOS GENERACION (CLS53000036);GENERACION (CLS80000006);2000022311
ASUNTOS LABORALES CA (CLS53000504);CELSIA CENTROAMERICA (CLS80000009);2000004762
OPERACION Y MANTENIMIENTO TECNOLOGIA (CLS53000461);TALENTO HUMANO Y SOLUCIONES ORGANIZACIONALES (CLS80000007);2000028096
OBRAS CIVILES ACUEDUCTOS Y STAR (CLS53000388);GENERACION (CLS80000006);2000010346
PRESUPUESTOS PROGRAMACION Y CONTROL GENERACION (CLS53000353);GENERACION (CLS80000006);2000020289
PROYECTOS NUEVOS NEGOCIOS TYD (CLS51000899);TRANSMISION Y DISTRIBUCION (CLS80000008);2000026914
MANTENIMIENTO, INSTRUMENTACION Y ELECTRICO DMA (CLS53000069);CELSIA CENTROAMERICA (CLS80000009);2000004705
PMO TYD (CLS51000858);TRANSMISION Y DISTRIBUCION (CLS80000008);2000010375
DESEMPEÑO TECNOLOGIA (CLS53000511);TALENTO HUMANO Y SOLUCIONES ORGANIZACIONALES (CLS80000007);2000005279
ASUNTOS CORPORATIVOS (CLS50000056);ASUNTOS CORPORATIVOS (CLS80000002);2000021201
ANALISIS CONTABLE (CLS53000419);FINANCIERA (CLS80000005);2000023298
PROTECCION Y TELECONTROL ZONA (CLS53000410);TRANSMISION Y DISTRIBUCION (CLS80000008);2000028744
MANTENIMIENTO MECANICO DMA (CLS53000072);CELSIA CENTROAMERICA (CLS80000009);2000004723
VENTAS NUEVOS NEGOCIOS (CLS53000062);CELSIA CENTROAMERICA (CLS80000009);2000004791
GERENCIA DMA (CLS52000023);CELSIA CENTROAMERICA (CLS80000009);2000020219
GENERACION TERMICA (CLS50000062);GENERACION (CLS80000006);2000004466
CIUDADES Y EMPRESAS (CLS53000279);COMERCIAL (CLS80000004);2000005469
ABASTECIMIENTO ESTRATEGICO (CLS52000007);CELSIA CENTROAMERICA (CLS80000009);2000004704
COMUNICACIONES (CLS51000485);ASUNTOS CORPORATIVOS (CLS80000002);2000022522
LOGISTICA (CLS53000012);FINANCIERA (CLS80000005);2000006116
MANTENIMIENTO ELECTRICO ALTO Y BAJO ANCHICAYA (CLS53000377);GENERACION (CLS80000006);2000010421
CONSOLIDACION CONTABLE Y NIIF (CLS51000678);FINANCIERA (CLS80000005);2000004505
VENTAS Y OPERACIONES RETAIL (CLS53000617);COMERCIAL (CLS80000004);2000003584
GESTION MEDIDA Y PERDIDAS (CLS53000395);TRANSMISION Y DISTRIBUCION (CLS80000008);2000010443
INSTRUMENTACION Y CONTROL COMPLEJO TERMICO COLON (CLS53000491);CELSIA CENTROAMERICA (CLS80000009);2000004873
OPERACIONES Y MANTENIMIENTO (CLS53000411);CELSIA CENTROAMERICA (CLS80000009);2000026048
SUPERVISION DE TURNO (CLS53000337);CELSIA CENTROAMERICA (CLS80000009);2000004932
INFRAESTRUCTURA ELECTRICA Y MANTENIMIENTO (CLS53000448);TALENTO HUMANO Y SOLUCIONES ORGANIZACIONALES (CLS80000007);2000010835
PLANEACION Y COMBUSTIBLE MERCADO MAYORISTA (CLS53000536);GENERACION (CLS80000006);2000031568
PROYECTOS GENERACION EOLICA (CLS53000028);GENERACION (CLS80000006);2000003484
PROVISION SERVICIO OBRAS Y MULTISERVICIOS (CLS51000886);TRANSMISION Y DISTRIBUCION (CLS80000008);2000001738
SUPERVISION TURNO II CTC (CLS53000078);CELSIA CENTROAMERICA (CLS80000009);2000004933
INGENIERIA DE APOYO AGUAS (CLS51000845);GENERACION (CLS80000006);2000001716
LINEAS AT (CLS53000216);TRANSMISION Y DISTRIBUCION (CLS80000008);2000027502
PERDIDAS DE ENERGIA ZONA (CLS53000222);TRANSMISION Y DISTRIBUCION (CLS80000008);2000005444
SUPERVISION MANTENIMIENTO ELECTRICO (CLS53000198);CELSIA CENTROAMERICA (CLS80000009);2000004827
SISTEMAS FOTOVOLTAICOS (CLS51000704);TRANSMISION Y DISTRIBUCION (CLS80000008);2000005217
PRESAS (CLS53000599);GENERACION (CLS80000006);2000025203
MANTENIMIENTO ZONA TOLIMA NORTE (CLS53000260);TRANSMISION Y DISTRIBUCION (CLS80000008);2000026959
OPERACION TALENTO HUMANO Y SOLUCIONES ORGANIZACIONALES (CLS53000438);CELSIA CENTROAMERICA (CLS80000009);2000004863
PLANEACION ABASTECIMIENTO (CLS53000326);FINANCIERA (CLS80000005);2000003585
PMO TECNOLOGIA (CLS53000511);TALENTO HUMANO Y SOLUCIONES ORGANIZACIONALES (CLS80000007);2000001742
CONTABILIDAD E IMPUESTOS (CLS51000151);FINANCIERA (CLS80000005);2000001894
MERCADOS FINANCIEROS (CLS53000418);FINANCIERA (CLS80000005);2000004893
INFRAESTRUCTURA CIVIL Y GESTION DE PRESAS (CLS53000191);GENERACION (CLS80000006);2000005278
SST PROCESOS DE NEGOCIO (CLS53000340);TALENTO HUMANO Y SOLUCIONES ORGANIZACIONALES (CLS80000007);2000021057
TECNICO PRODUCTOS (CLS53000413);CELSIA CENTROAMERICA (CLS80000009);2000004761
REDES MTBT (CLS53000363);TRANSMISION Y DISTRIBUCION (CLS80000008);2000023135
GERENCIA CTC (CLS52000029);CELSIA CENTROAMERICA (CLS80000009);2000004812
SOCIO GESTION HUMANA (CLS53000054);CELSIA CENTROAMERICA (CLS80000009);2000004889
SOCIOAMBIENTAL CORPORATIVO (CLS53000530);ASUNTOS CORPORATIVOS (CLS80000002);2000010378
LEGAL (CLS52000020);CELSIA CENTROAMERICA (CLS80000009);2000004750
GESTION DE RECURSOS (CLS53000045);CELSIA CENTROAMERICA (CLS80000009);2000004906
PLANEACION ABASTECIMIENTO (CLS53000005);FINANCIERA (CLS80000005);2000003499
COMPENSACION Y PRODUCTIVIDAD (CLS53000055);CELSIA CENTROAMERICA (CLS80000009);2000004781
CENTRAL TERMICA TESORITO (CLS53000479);GENERACION (CLS80000006);2000026699
HIDROGENO (CLS53000604);INNOVACION (CLS80000021);2000031669
SALUD DE EQUIPOS (CLS53000249);TRANSMISION Y DISTRIBUCION (CLS80000008);2000026207
GESTION SOCIOAMBIENTAL GENERACION (CLS51000703);GENERACION (CLS80000006);2000005190
CELSIA CENTROAMERICA (CLS51000552);CELSIA CENTROAMERICA (CLS80000009);2000020220
SERVICIO HOGAR MAS (CLS53000298);COMERCIAL (CLS80000004);2000005331
SUPERVISION DE TURNO (CLS53000338);CELSIA CENTROAMERICA (CLS80000009);2000004842
OPERACION INTERNET (CLS53000238);TALENTO HUMANO Y SOLUCIONES ORGANIZACIONALES (CLS80000007);2000028875
CONTROL QUIMICO (CLS52000031);CELSIA CENTROAMERICA (CLS80000009);2000004797
SUPERVISION DE TURNO (CLS53000339);CELSIA CENTROAMERICA (CLS80000009);2000004968
GESTION DE LA MEDIDA ENERBIT (CLS53000621);ENERBIT (CLS80000022);2000031856
EXPERIENCIA CLIENTES (CLS53000529);ENERBIT (CLS80000022);2000023340
ATRACCION CULTURA Y DESARROLLO DEL TALENTO (CLS53000030);TALENTO HUMANO Y SOLUCIONES ORGANIZACIONALES (CLS80000007);2000021715
GESTION DEL CAMBIO (CLS53000467);TALENTO HUMANO Y SOLUCIONES ORGANIZACIONALES (CLS80000007);2000027872
MANTENIMIENTO TYD ZONA CARIBE (CLS51000863);TRANSMISION Y DISTRIBUCION (CLS80000008);2000003606
SOCIOAMBIENTAL TYD (CLS53000403);TRANSMISION Y DISTRIBUCION (CLS80000008);2000001845
ASUNTOS REGULATORIOS Y DESARROLLO DE MERCADOS (CLS53000366);CELSIA CENTROAMERICA (CLS80000009);2000004449
INTERVENTORIA ZONA VALLE (CLS53000614);TRANSMISION Y DISTRIBUCION (CLS80000008);2000001813
EQUIPOS ELECTRICOS PROYECTOS (CLS53000548);GENERACION (CLS80000006);2000001669
GESTION APLICACIONES DE NEGOCIO (CLS51000851);TALENTO HUMANO Y SOLUCIONES ORGANIZACIONALES (CLS80000007);2000023322
ALMACEN PANAMA (CLS53000406);FINANCIERA (CLS80000005);2000004734
DESARROLLO DE PRODUCTOS (CLS53000027);COMERCIAL (CLS80000004);2000001661
OPERACIONES COMPLEJO TERMICO COLON (CLS53000502);CELSIA CENTROAMERICA (CLS80000009);2000004944
GESTION SERVICIOS (CLS53000391);TALENTO HUMANO Y SOLUCIONES ORGANIZACIONALES (CLS80000007);2000005466
CRECIMIENTO DE RED Y MULTISERVICIOS ZONA (CLS53000230);TRANSMISION Y DISTRIBUCION (CLS80000008);2000025450
GESTION CONTABLE CA (CLS53000044);FINANCIERA (CLS80000005);2000004774
MANTENIMIENTO ELECTRICO PRADO Y CUCUANA (CLS53000382);GENERACION (CLS80000006);2000004985
CONSTRUCCION PROYECTOS SOCIALES (CLS53000625);GENERACION (CLS80000006);2000027382
MANTENIMIENTO LINEAS Y SUBESTACIONES (CLS53000361);TRANSMISION Y DISTRIBUCION (CLS80000008);2000023165
FINANZAS DE PRODUCTO (CLS53000270);FINANCIERA (CLS80000005);2000023316
EMPRESAS (CLS51000669);COMERCIAL (CLS80000004);2000005446
INVESTIGACION Y DESARROLLO TECNOLOGIA (CLS53000473);TALENTO HUMANO Y SOLUCIONES ORGANIZACIONALES (CLS80000007);2000001029
PLANEACION FINANCIERA (CLS51000484);FINANCIERA (CLS80000005);2000001662
FACTURACION (CLS53000368);COMERCIAL (CLS80000004);2000021317
MANTENIMIENTO TYD ZONA (CLS53000261);TRANSMISION Y DISTRIBUCION (CLS80000008);2000029652
PERDIDAS DE ENERGIA ZONA (CLS53000219);TRANSMISION Y DISTRIBUCION (CLS80000008);2000027224
PROYECTO NOVA (CLS51000893);TRANSMISION Y DISTRIBUCION (CLS80000008);2000001920
CUMPLIMIENTO (CLS53000239);ASUNTOS CORPORATIVOS (CLS80000002);2000010381
GENERACION (CLS50000052);GENERACION (CLS80000006);2000010799
CONTROL QUIMICO (CLS53000497);CELSIA CENTROAMERICA (CLS80000009);2000004714
PROTECCIONES Y TELECONTROL TYD (CLS51000883);TRANSMISION Y DISTRIBUCION (CLS80000008);2000005051
PERDIDAS DE ENERGIA ZONA (CLS53000223);TRANSMISION Y DISTRIBUCION (CLS80000008);2000029612
PLANEACION DEL MEM (CLS51000847);GENERACION (CLS80000006);2000001775
CONFIABILIDAD MEDICION (CLS53000251);TRANSMISION Y DISTRIBUCION (CLS80000008);2000001701
GESTION DE RECURSOS DMA (CLS53000071);CELSIA CENTROAMERICA (CLS80000009);2000004846
EXPERIENCIAS DE SERVICIO I (CLS53000304);COMERCIAL (CLS80000004);2000025480
GESTION Y DESARROLLO PROVEEDORES (CLS51000780);FINANCIERA (CLS80000005);2000020288
EXPERIENCIA DEL COLABORADOR (CLS53000322);TALENTO HUMANO Y SOLUCIONES ORGANIZACIONALES (CLS80000007);2000001829
PROYECTOS SOCIALES DE GENERACION (CLS53000033);GENERACION (CLS80000006);2000005191
EXPERIENCIA DE CLIENTES (CLS51000728);COMERCIAL (CLS80000004);2000010410
NEGOCIO DISTRITO TERMICO Y EFICIENCIA ENERGETICA (CLS53000623);COMERCIAL (CLS80000004);2000010332
RIESGOS (CLS53000283);FINANCIERA (CLS80000005);2000023242
OPERACIONES Y MANTENIMIENTO (CLS53000092);CELSIA CENTROAMERICA (CLS80000009);2000001625
COMERCIAL (CLS51000576);COMERCIAL (CLS80000004);2000001665
GESTION DE ENERGIA Y PERDIDAS (CLS51000854);TRANSMISION Y DISTRIBUCION (CLS80000008);2000001707
MANTENIMIENTO REDES ZONA (CLS53000229);TRANSMISION Y DISTRIBUCION (CLS80000008);2000028487
INGENIERIA TECNOLOGIA (CLS53000460);TALENTO HUMANO Y SOLUCIONES ORGANIZACIONALES (CLS80000007);2000028931
NEGOCIOS EN COMPETENCIA (CLS52000018);ASUNTOS REGULATORIOS (CLS80000003);2000010826
EXPERIENCIA DE COLABORADORES Y CULTURA (CLS53000466);TALENTO HUMANO Y SOLUCIONES ORGANIZACIONALES (CLS80000007);2000027642
FUNDACION EPSA (CLS53000029);ASUNTOS CORPORATIVOS (CLS80000002);2000021203
TECNOLOGIA CA (CLS53000053);TALENTO HUMANO Y SOLUCIONES ORGANIZACIONALES (CLS80000007);2000006077
NEGOCIOS RETAIL (CLS53000618);COMERCIAL (CLS80000004);2000025208
PERDIDAS DE ENERGIA ZONA (CLS53000218);TRANSMISION Y DISTRIBUCION (CLS80000008);2000026727
VENTAS ZONA NEGOCIO CIUDADES Y SECTOR PUBLICO (CLS53000313);COMERCIAL (CLS80000004);2000023702
SOCIAL PROYECTOS GENERACION (CLS53000208);GENERACION (CLS80000006);2000025142
GESTION DE RECURSOS COMPLEJO TERMICO COLON (CLS53000503);CELSIA CENTROAMERICA (CLS80000009);2000004929
OPERACION Y MANTENIMIENTO SUBESTACIONES (CLS53000314);TRANSMISION Y DISTRIBUCION (CLS80000008);2000003602
INFRAESTRUCTURA Y SERVICIOS ADMINISTRATIVOS CA (CLS53000052);CELSIA CENTROAMERICA (CLS80000009);2000004854
AMBIENTE (CLS52000022);CELSIA CENTROAMERICA (CLS80000009);2000004946
PROYECTO SAPIENCIA (CLS51000675);FINANCIERA (CLS80000005);2000001758
INTELIGENCIA DE MERCADOS (CLS53000612);ASUNTOS REGULATORIOS (CLS80000003);2000005410
REVERDEC (CLS53000603);GENERACION (CLS80000006);2000004730
GESTION CONTRATISTAS (CLS51000809);TALENTO HUMANO Y SOLUCIONES ORGANIZACIONALES (CLS80000007);2000022123
CRECIMIENTO DE RED MTBT (CLS53000271);TRANSMISION Y DISTRIBUCION (CLS80000008);2000023231
DESARROLLO DE NEGOCIOS (CLS51000480);FINANCIERA (CLS80000005);2000010813
GESTION DOCUMENTAL (CLS53000162);TRANSMISION Y DISTRIBUCION (CLS80000008);2000023297
COMERCIO EXTERIOR Y ZONA FRANCA (CLS51000775);FINANCIERA (CLS80000005);2000004371
SUPERVISION TURNO V CTC (CLS53000082);CELSIA CENTROAMERICA (CLS80000009);2000004804
GESTION TECNICA MECANICA CENTRALES (CLS53000390);GENERACION (CLS80000006);2000001741
GESTION HUMANA Y ADMINISTRATIVA (CLS52000012);CELSIA CENTROAMERICA (CLS80000009);2000004727
MANTENIMIENTO REDES ZONA (CLS53000220);TRANSMISION Y DISTRIBUCION (CLS80000008);2000001057
CONSTRUCCION PROYECTOS SOCIALES (CLS53000586);GENERACION (CLS80000006);2000027761
COMPLEJO TERMICO COLON (CLS53000409);CELSIA CENTROAMERICA (CLS80000009);2000004948
DESARROLLO SOFTWARE (CLS53000245);TALENTO HUMANO Y SOLUCIONES ORGANIZACIONALES (CLS80000007);2000025316
INTELIGENCIA COMPETITIVA (CLS53000505);COMERCIAL (CLS80000004);2000001831
GESTION TYD (CLS51000658);TRANSMISION Y DISTRIBUCION (CLS80000008);2000005452
ARQUITECTURA Y DIGITAL (CLS51000850);TALENTO HUMANO Y SOLUCIONES ORGANIZACIONALES (CLS80000007);2000009941
ALMACENAMIENTO Y MICRORREDES (CLS53000355);INNOVACION (CLS80000021);2000005210
PROYECTO SAN ANDRES (CLS53000000);GENERACION (CLS80000006);2000020205
VENTAS ZONA (CLS53000442);COMERCIAL (CLS80000004);2000026849
COMERCIO EXTERIOR (CLS53000373);FINANCIERA (CLS80000005);2000004445
REDES MTBT (CLS53000225);TRANSMISION Y DISTRIBUCION (CLS80000008);2000003617
PMO Y PROSPECTIVA DE NEGOCIO TYD (CLS51000858);TRANSMISION Y DISTRIBUCION (CLS80000008);2000025369
SUBESTACIONES (CLS53000228);TRANSMISION Y DISTRIBUCION (CLS80000008);2000027523
GERENCIA DE DISTRIBUCION TOLIMA (CLS53000125);TRANSMISION Y DISTRIBUCION (CLS80000008);2000023295
OBRAS CIVILES PROYECTOS (CLS53000036);GENERACION (CLS80000006);2000020597
MEDIDA CENTRALIZADA Y ESPECIAL REDUCCION DE PERDIDAS (CLS53000426);TRANSMISION Y DISTRIBUCION (CLS80000008);2000027161
MANTENIMIENTO REDES Y SUBESTACIONES ZONA (CLS53000274);TRANSMISION Y DISTRIBUCION (CLS80000008);2000028534
MULTISERVICIOS (CLS53000094);TRANSMISION Y DISTRIBUCION (CLS80000008);2000022663
DESARROLLO MODELOS DE SERVICIO (CLS53000190);COMERCIAL (CLS80000004);2000023082
ASEGURAMIENTO DEL SERVICIO POSTVENTA (CLS53000334);COMERCIAL (CLS80000004);2000026263
