ciudad;estado;id estado;;;;;ciudad;cod ciuda
MONGUI;CORDOBA;1;;;;;MONGUI;1
AGUA DE DIOS;ANTIOQUIA;2;;;;;AGUA DE DIOS;2
FRANCISCO PIZARRO;VALLE DEL CAUCA;3;;;;;FRANCISCO PIZARRO;3
CALI;VALLE DEL CAUCA;3;;;;;CALI;4
YUMBO;VALLE DEL CAUCA;3;;;;;YUMBO;5
SOLEDAD;ATLANTICO;4;;;;;SOLEDAD;6
BUENAVISTA;VALLE DEL CAUCA;3;;;;;BUENAVISTA;7
JAMBALO;VALLE DEL CAUCA;3;;;;;JAMBALO;8
IBAGUE;TOLIMA;5;;;;;IBAGUE;9
GARZON;HUILA;6;;;;;GARZON;10
CALIMA;VALLE DEL CAUCA;3;;;;;CALIMA;11
BUGALAGRANDE;VALLE DEL CAUCA;3;;;;;BUGALAGRANDE;12
TULUA;VALLE DEL CAUCA;3;;;;;TULUA;13
CAPITANEJO;VALLE DEL CAUCA;3;;;;;CAPITANEJO;14
BARRANCABERMEJA;SANTANDER;7;;;;;BARRANCABERMEJA;15
BARRANQUILLA;ATLANTICO;4;;;;;BARRANQUILLA;16
BUCARASICA;VALLE DEL CAUCA;3;;;;;BUCARASICA;17
PALMIRA;VALLE DEL CAUCA;3;;;;;PALMIRA;18
ENCISO;ANTIOQUIA;2;;;;;ENCISO;19
GUADALAJARA DE BUGA;VALLE DEL CAUCA;3;;;;;GUADALAJARA DE BUGA;20
LA CEJA;ANTIOQUIA;2;;;;;LA CEJA;21
BELALCAZAR;ANTIOQUIA;2;;;;;BELALCAZAR;22
SOACHA;CUNDINAMARCA;8;;;;;SOACHA;23
GOMEZ PLATA;ANTIOQUIA;2;;;;;GOMEZ PLATA;24
MEDELLIN;ANTIOQUIA;2;;;;;MEDELLIN;25
FLANDES;VALLE DEL CAUCA;3;;;;;FLANDES;26
RIOBLANCO;VALLE DEL CAUCA;3;;;;;RIOBLANCO;27
PUERTO LIBERTADOR;CORDOBA;1;;;;;PUERTO LIBERTADOR;28
GUACA;VALLE DEL CAUCA;3;;;;;GUACA;29
RIONEGRO;ANTIOQUIA;2;;;;;RIONEGRO;30
POPAYAN;CAUCA;11;;;;;POPAYAN;31
CHAGUANI;TOLIMA;5;;;;;CHAGUANI;32
ARMERO;TOLIMA;5;;;;;ARMERO;33
ANCUYA;VALLE DEL CAUCA;3;;;;;ANCUYA;34
ZAPATOCA;VALLE DEL CAUCA;3;;;;;ZAPATOCA;35
SABANAS DE SAN ANGEL;CORDOBA;1;;;;;SABANAS DE SAN ANGEL;36
SARAVENA;VALLE DEL CAUCA;3;;;;;SARAVENA;37
EL CERRITO;VALLE DEL CAUCA;3;;;;;EL CERRITO;38
SABANETA;ANTIOQUIA;2;;;;;SABANETA;39
CORTES;CORTES;14;;;;;CORTES;40
BUENAVENTURA;VALLE DEL CAUCA;3;;;;;BUENAVENTURA;41
ROLDANILLO;VALLE DEL CAUCA;3;;;;;ROLDANILLO;42
LA JAGUA DE IBIRICO;VALLE DEL CAUCA;3;;;;;LA JAGUA DE IBIRICO;43
TOLU VIEJO;VALLE DEL CAUCA;3;;;;;TOLU VIEJO;44
CAPARRAPI;TOLIMA;5;;;;;CAPARRAPI;45
MORALES;CUNDINAMARCA;8;;;;;MORALES;46
NEIVA;HUILA;6;;;;;NEIVA;47
CARTAGO;VALLE DEL CAUCA;3;;;;;CARTAGO;48
YOLOMBO;VALLE DEL CAUCA;3;;;;;YOLOMBO;49
EL PEÑON;TOLIMA;5;;;;;EL PEÑON;50
BOGOTA, D.C.;BOGOTA;9;;;;;BOGOTA, D.C.;51
BELLO;ANTIOQUIA;2;;;;;BELLO;52
NILO;CUNDINAMARCA;8;;;;;NILO;53
PUERTO NARE;TOLIMA;5;;;;;PUERTO NARE;54
GUADALUPE;TOLIMA;5;;;;;GUADALUPE;55
LIBANO;TOLIMA;5;;;;;LIBANO;56
SAN MARTIN;META;16;;;;;SAN MARTIN;57
QUETAME;QUINDIO;17;;;;;QUETAME;58
ITAGUI;ANTIOQUIA;2;;;;;ITAGUI;59
SAN JOSE DE LA MONTAÑA;ANTIOQUIA;2;;;;;SAN JOSE DE LA MONTAÑA;60
PRADERA;VALLE DEL CAUCA;3;;;;;PRADERA;61
CAJIBIO;VALLE DEL CAUCA;3;;;;;CAJIBIO;62
SAN JUANITO;ANTIOQUIA;2;;;;;SAN JUANITO;63
RICAURTE;CUNDINAMARCA;8;;;;;RICAURTE;64
JAMUNDI;VALLE DEL CAUCA;3;;;;;JAMUNDI;65
LERIDA;TOLIMA;5;;;;;LERIDA;66
ENVIGADO;ANTIOQUIA;2;;;;;ENVIGADO;67
CHIBOLO;RISARALDA;19;;;;;CHIBOLO;68
ZARZAL;VALLE DEL CAUCA;3;;;;;ZARZAL;69
SAN GIL;SANTANDER;7;;;;;SAN GIL;70
CARTAGENA;BOLIVAR;10;;;;;CARTAGENA;71
BARBACOAS;ANTIOQUIA;2;;;;;BARBACOAS;72
GUACARI;VALLE DEL CAUCA;3;;;;;GUACARI;73
HELICONIA;TOLIMA;5;;;;;HELICONIA;74
CIMITARRA;QUINDIO;17;;;;;CIMITARRA;75
PUERTO COLOMBIA;ATLANTICO;4;;;;;PUERTO COLOMBIA;76
CAJICA;VALLE DEL CAUCA;3;;;;;CAJICA;77
SIGUATEPEQUE;COMAYAGUA;21;;;;;SIGUATEPEQUE;78
SAHAGUN;CORDOBA;1;;;;;SAHAGUN;79
SAN PEDRO SULA;CORTES;14;;;;;SAN PEDRO SULA;80
MARIA LA BAJA;BOLIVAR;10;;;;;MARIA LA BAJA;81
MANAURE;TOLIMA;5;;;;;MANAURE;82
CANDELARIA;VALLE DEL CAUCA;3;;;;;CANDELARIA;83
MELGAR;TOLIMA;5;;;;;MELGAR;84
COPACABANA;ANTIOQUIA;2;;;;;COPACABANA;85
APIA;RISARALDA;19;;;;;APIA;86
REPELON;VALLE DEL CAUCA;3;;;;;REPELON;87
SUAREZ;CAUCA;11;;;;;SUAREZ;88
CAICEDONIA;VALLE DEL CAUCA;3;;;;;CAICEDONIA;89
SAN ANTONIO;TOLIMA;5;;;;;SAN ANTONIO;90
PIEDECUESTA;SANTANDER;7;;;;;PIEDECUESTA;91
COELLO;TOLIMA;5;;;;;COELLO;92
PURACE;CAUCA;11;;;;;PURACE;93
VILLAMARIA;CALDAS;18;;;;;VILLAMARIA;94
RETIRO;ANTIOQUIA;2;;;;;RETIRO;95
LA PLATA;HUILA;6;;;;;LA PLATA;96
DON MATIAS;ANTIOQUIA;2;;;;;DON MATIAS;97
Bagaces;Guanacaste;23;;;;;Bagaces;98
YOTOCO;VALLE DEL CAUCA;3;;;;;YOTOCO;99
BUCARAMANGA;SANTANDER;7;;;;;BUCARAMANGA;100
HOBO;TOLIMA;5;;;;;HOBO;101
GIRON;SANTANDER;7;;;;;GIRON;102
SAN JOAQUIN;RISARALDA;19;;;;;SAN JOAQUIN;103
LABATECA;VALLE DEL CAUCA;3;;;;;LABATECA;104
CABUYARO;TOLIMA;5;;;;;CABUYARO;105
MONTELIBANO;CORDOBA;1;;;;;MONTELIBANO;106
YAGUARA;HUILA;6;;;;;YAGUARA;107
ICONONZO;TOLIMA;5;;;;;ICONONZO;108
PUERTO TEJADA;CAUCA;11;;;;;PUERTO TEJADA;109
HONDA;TOLIMA;5;;;;;HONDA;110
SANTANDER DE QUILICHAO;CAUCA;11;;;;;SANTANDER DE QUILICHAO;111
VIGIA DEL FUERTE;CALDAS;18;;;;;VIGIA DEL FUERTE;112
CAUCASIA;ANTIOQUIA;2;;;;;CAUCASIA;113
OBANDO;VALLE DEL CAUCA;3;;;;;OBANDO;114
LEGUIZAMO;CAUCA;11;;;;;LEGUIZAMO;115
ROSAS;CAUCA;11;;;;;ROSAS;116
EL CARMEN DE VIBORAL;ANTIOQUIA;2;;;;;EL CARMEN DE VIBORAL;117
ZIPAQUIRA;CUNDINAMARCA;8;;;;;ZIPAQUIRA;118
JERICO;ANTIOQUIA;2;;;;;JERICO;119
LA CAPILLA;ANTIOQUIA;2;;;;;LA CAPILLA;120
ALCALA;VALLE DEL CAUCA;3;;;;;ALCALA;121
ALBANIA;VALLE DEL CAUCA;3;;;;;ALBANIA;122
PUERTO RONDON;ANTIOQUIA;2;;;;;PUERTO RONDON;123
CHIA;CUNDINAMARCA;8;;;;;CHIA;124
SAN PEDRO;VALLE DEL CAUCA;3;;;;;SAN PEDRO;125
CALDAS;ANTIOQUIA;2;;;;;CALDAS;126
GALAPA;ATLANTICO;4;;;;;GALAPA;127
SAN ANDRES DE CUERQUIA;ANTIOQUIA;2;;;;;SAN ANDRES DE CUERQUIA;128
SALDAÑA;TOLIMA;5;;;;;SALDAÑA;129
FRESNO;TOLIMA;5;;;;;FRESNO;130
DAGUA;VALLE DEL CAUCA;3;;;;;DAGUA;131
FUNZA;CUNDINAMARCA;8;;;;;FUNZA;132
TURBACO;BOLIVAR;10;;;;;TURBACO;133
PRADO;TOLIMA;5;;;;;PRADO;134
MONTERIA;CORDOBA;1;;;;;MONTERIA;135
SAMPUES;VALLE DEL CAUCA;3;;;;;SAMPUES;136
GIRARDOT;CUNDINAMARCA;8;;;;;GIRARDOT;137
MAICAO;LA GUAJIRA;24;;;;;MAICAO;138
ANSERMANUEVO;VALLE DEL CAUCA;3;;;;;ANSERMANUEVO;139
MARIQUITA;TOLIMA;5;;;;;MARIQUITA;140
SEVILLA;VALLE DEL CAUCA;3;;;;;SEVILLA;141
ARMENIA;QUINDIO;17;;;;;ARMENIA;142
LA CUMBRE;VALLE DEL CAUCA;3;;;;;LA CUMBRE;143
LA UVITA;VALLE DEL CAUCA;3;;;;;LA UVITA;144
SAN LUIS DE GACENO;ANTIOQUIA;2;;;;;SAN LUIS DE GACENO;145
MADRID;CUNDINAMARCA;8;;;;;MADRID;146
MALAMBO;ATLANTICO;4;;;;;MALAMBO;147
CARMEN DE APICALA;TOLIMA;5;;;;;CARMEN DE APICALA;148
PANA PANA;ANTIOQUIA;2;;;;;PANA PANA;149
SOGAMOSO;BOYACA;15;;;;;SOGAMOSO;150
ANDALUCIA;VALLE DEL CAUCA;3;;;;;ANDALUCIA;151
FLORESTA;SANTANDER;7;;;;;FLORESTA;152
GAMBITA;HUILA;6;;;;;GAMBITA;153
ESPINAL;TOLIMA;5;;;;;ESPINAL;154
RONCESVALLES;TOLIMA;5;;;;;RONCESVALLES;155
URRAO;ANTIOQUIA;2;;;;;URRAO;156
PITALITO;HUILA;6;;;;;PITALITO;157
SAN LUIS;ANTIOQUIA;2;;;;;SAN LUIS;158
ARACATACA;CUNDINAMARCA;8;;;;;ARACATACA;159
SAN ROQUE;ANTIOQUIA;2;;;;;SAN ROQUE;160
